,y1m,y3m,y6m,y1,y5,y10,y20,y30
2003-01-02,1.16,1.2,1.23,1.42,3.05,4.07,5.05,
2003-01-03,1.16,1.2,1.23,1.41,3.03,4.05,5.03,
2003-01-06,1.15,1.19,1.25,1.44,3.1,4.09,5.05,
2003-01-07,1.15,1.17,1.22,1.4,3.04,4.04,5.03,
2003-01-08,1.15,1.17,1.21,1.36,3.01,4.0,5.0,
2003-01-09,1.16,1.18,1.23,1.44,3.23,4.19,5.17,
2003-01-10,1.15,1.18,1.22,1.39,3.2,4.16,5.14,
2003-01-13,1.15,1.19,1.24,1.41,3.17,4.15,5.13,
2003-01-14,1.16,1.17,1.22,1.4,3.1,4.1,5.09,
2003-01-15,1.15,1.18,1.21,1.37,3.1,4.1,5.07,
2003-01-16,1.15,1.16,1.2,1.37,3.11,4.1,5.06,
2003-01-17,1.15,1.16,1.19,1.34,3.05,4.05,5.0,
2003-01-21,1.15,1.17,1.2,1.33,3.0,4.01,4.98,
2003-01-22,1.15,1.15,1.17,1.31,2.94,3.95,4.94,
2003-01-23,1.14,1.15,1.18,1.33,2.97,3.98,4.98,
2003-01-24,1.12,1.14,1.17,1.31,2.93,3.94,4.92,
2003-01-27,1.13,1.15,1.17,1.31,2.97,3.98,4.96,
2003-01-28,1.17,1.16,1.18,1.34,2.99,4.0,4.96,
2003-01-29,1.16,1.16,1.18,1.36,3.07,4.06,5.01,
2003-01-30,1.15,1.16,1.17,1.3,3.02,4.0,4.96,
2003-01-31,1.15,1.16,1.17,1.31,3.02,4.0,4.93,
2003-02-03,1.14,1.16,1.19,1.34,3.05,4.01,4.93,
2003-02-04,1.16,1.14,1.17,1.33,2.99,3.96,4.89,
2003-02-05,1.16,1.16,1.18,1.34,3.07,4.02,4.97,
2003-02-06,1.15,1.15,1.17,1.32,3.02,3.97,4.91,
2003-02-07,1.15,1.15,1.16,1.28,2.97,3.96,4.88,
2003-02-10,1.15,1.15,1.18,1.33,3.03,3.99,4.94,
2003-02-11,1.17,1.16,1.17,1.3,3.0,3.98,4.93,
2003-02-12,1.16,1.16,1.17,1.29,2.92,3.93,4.9,
2003-02-13,1.16,1.15,1.16,1.27,2.85,3.89,4.86,
2003-02-14,1.17,1.16,1.17,1.3,2.91,3.95,4.94,
2003-02-18,1.17,1.17,1.18,1.31,2.92,3.94,4.92,
2003-02-19,1.17,1.16,1.17,1.29,2.87,3.88,4.86,
2003-02-20,1.17,1.17,1.18,1.29,2.82,3.85,4.84,
2003-02-21,1.18,1.17,1.18,1.31,2.86,3.9,4.88,
2003-02-24,1.19,1.19,1.19,1.28,2.82,3.86,4.85,
2003-02-25,1.23,1.18,1.18,1.27,2.77,3.81,4.81,
2003-02-26,1.24,1.19,1.18,1.27,2.75,3.78,4.77,
2003-02-27,1.22,1.19,1.18,1.27,2.75,3.76,4.75,
2003-02-28,1.19,1.18,1.17,1.24,2.69,3.71,4.7,
2003-03-03,1.18,1.18,1.18,1.26,2.66,3.68,4.69,
2003-03-04,1.21,1.17,1.17,1.24,2.62,3.65,4.68,
2003-03-05,1.19,1.16,1.15,1.22,2.58,3.63,4.67,
2003-03-06,1.18,1.16,1.15,1.22,2.63,3.67,4.7,
2003-03-07,1.14,1.1,1.09,1.15,2.56,3.63,4.67,
2003-03-10,1.12,1.06,1.04,1.09,2.51,3.59,4.64,
2003-03-11,1.13,1.08,1.05,1.12,2.54,3.6,4.64,
2003-03-12,1.13,1.08,1.06,1.14,2.57,3.6,4.62,
2003-03-13,1.13,1.1,1.11,1.24,2.75,3.74,4.75,
2003-03-14,1.12,1.11,1.11,1.22,2.72,3.72,4.73,
2003-03-17,1.14,1.13,1.12,1.24,2.82,3.82,4.82,
2003-03-18,1.17,1.12,1.16,1.35,2.93,3.91,4.89,
2003-03-19,1.17,1.14,1.15,1.32,2.98,3.98,4.94,
2003-03-20,1.17,1.15,1.16,1.34,3.02,4.01,4.99,
2003-03-21,1.16,1.16,1.17,1.36,3.12,4.11,5.08,
2003-03-24,1.16,1.15,1.16,1.32,2.98,3.98,4.97,
2003-03-25,1.19,1.16,1.16,1.28,2.97,3.97,4.97,
2003-03-26,1.17,1.16,1.15,1.27,2.94,3.96,4.96,
2003-03-27,1.16,1.14,1.14,1.25,2.92,3.95,4.96,
2003-03-28,1.13,1.12,1.12,1.22,2.86,3.92,4.93,
2003-03-31,1.14,1.12,1.11,1.19,2.78,3.83,4.84,
2003-04-01,1.15,1.1,1.08,1.16,2.78,3.84,4.85,
2003-04-02,1.15,1.11,1.1,1.22,2.89,3.94,4.94,
2003-04-03,1.15,1.09,1.08,1.18,2.87,3.93,4.95,
2003-04-04,1.15,1.09,1.08,1.18,2.88,3.96,4.97,
2003-04-07,1.17,1.15,1.14,1.25,2.99,4.03,5.01,
2003-04-08,1.17,1.13,1.12,1.21,2.91,3.95,4.93,
2003-04-09,1.15,1.11,1.11,1.22,2.87,3.93,4.92,
2003-04-10,1.16,1.12,1.13,1.25,2.89,3.95,4.94,
2003-04-11,1.16,1.15,1.16,1.3,2.95,4.0,4.96,
2003-04-14,1.17,1.18,1.19,1.33,3.02,4.04,4.99,
2003-04-15,1.15,1.16,1.18,1.32,2.96,3.98,4.93,
2003-04-16,1.13,1.15,1.17,1.31,2.95,3.96,4.92,
2003-04-17,1.12,1.16,1.17,1.34,2.99,3.98,4.91,
2003-04-21,1.12,1.16,1.19,1.35,3.03,4.0,4.92,
2003-04-22,1.12,1.16,1.18,1.34,3.01,4.01,4.94,
2003-04-23,1.12,1.15,1.18,1.33,3.02,4.02,4.92,
2003-04-24,1.11,1.13,1.15,1.28,2.92,3.93,4.84,
2003-04-25,1.11,1.12,1.14,1.26,2.88,3.91,4.83,
2003-04-28,1.11,1.12,1.15,1.28,2.9,3.92,4.83,
2003-04-29,1.12,1.13,1.15,1.28,2.94,3.96,4.86,
2003-04-30,1.11,1.11,1.12,1.22,2.85,3.89,4.79,
2003-05-01,1.07,1.08,1.1,1.21,2.82,3.88,4.8,
2003-05-02,1.05,1.1,1.13,1.27,2.9,3.94,4.84,
2003-05-05,1.06,1.11,1.14,1.27,2.87,3.92,4.8,
2003-05-06,1.07,1.08,1.1,1.19,2.76,3.84,4.76,
2003-05-07,1.06,1.09,1.11,1.21,2.64,3.72,4.67,
2003-05-08,1.04,1.07,1.11,1.24,2.62,3.7,4.65,
2003-05-09,1.05,1.09,1.11,1.22,2.61,3.69,4.64,
2003-05-12,1.05,1.08,1.11,1.22,2.58,3.64,4.6,
2003-05-13,1.0,1.07,1.1,1.23,2.58,3.63,4.58,
